Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-JUN-2026,23795.8,24090.05,23789.25,24021.65,395578738,31302.8
23-JUN-2026,24071.3,24135.5,23784.95,23824.1,340090069,28997.57
22-JUN-2026,24106.6,24168.05,24073.15,24102.9,252821156,21763.92
19-JUN-2026,23991.2,24047.2,23901.9,24013.1,447858148,40191.19
18-JUN-2026,24073.8,24189.25,24036.95,24168,339988612,28654.85
17-JUN-2026,24044.5,24108.2,23969.7,24085.7,352665809,26947.5
16-JUN-2026,23923.9,24002.6,23888.2,23989.15,327307262,27953.23
15-JUN-2026,23984.85,24011.4,23817.8,23853.9,398913735,34783.09
12-JUN-2026,23412.55,23645.35,23313.9,23622.9,351944432,29593.12
11-JUN-2026,23104.4,23327.45,23072.05,23161.6,362996956,28529.75
10-JUN-2026,23233.95,23425.35,23184.6,23214.95,380030627,31906.68
09-JUN-2026,23259.05,23279.4,23104.45,23242.1,402552937,32911.17
08-JUN-2026,23080.7,23267.3,23070.15,23123,375730763,26550.42
05-JUN-2026,23478.95,23516.35,23282.65,23366.7,366208223,28432.83
04-JUN-2026,23282.45,23465.3,23247.3,23416.55,412505524,32848.46
03-JUN-2026,23415.95,23459.65,23151.5,23405.6,450089851,36726.56
02-JUN-2026,23229.15,23556.95,23229.15,23483.55,511852817,43063.5
01-JUN-2026,23654.5,23733.7,23357.95,23382.6,421691204,33843.74
29-MAY-2026,23902.15,24002.8,23484.75,23547.75,1198023438,101439
27-MAY-2026,23880.35,23983.2,23858.25,23907.15,531572650,34903.35
26-MAY-2026,24004.1,24089.8,23885.45,23913.7,387932940,29835.11
25-MAY-2026,23940.25,24054.45,23922.85,24031.7,351224048,27301.94
22-MAY-2026,23671.2,23835.65,23671,23719.3,336108649,24993.16
21-MAY-2026,23830.05,23859.9,23596.6,23654.7,348183907,29930.79
20-MAY-2026,23457.25,23690.9,23397.3,23659,344050591,26163.78
19-MAY-2026,23675.3,23782.3,23587.2,23618,441953184,39325.73
18-MAY-2026,23482.2,23695.65,23317.1,23649.95,391968426,30029.02
15-MAY-2026,23731.4,23839.3,23610.3,23643.5,408864566,35052.32
14-MAY-2026,23530.25,23777.2,23426.55,23689.6,428735424,38828.33
13-MAY-2026,23362.45,23582.95,23262.55,23412.6,415359044,33693.48
12-MAY-2026,23722.6,23757.55,23348.4,23379.55,447518189,36200.59
11-MAY-2026,23970.1,23997.45,23799.1,23815.85,390108343,37404.28
08-MAY-2026,24233.65,24253.8,24126.65,24176.15,335887188,31217.1
07-MAY-2026,24398.5,24482.1,24284,24326.65,440621691,39529.1
06-MAY-2026,24171,24356.5,23997.9,24330.95,429190144,38826.87
05-MAY-2026,24052.6,24081.7,23882.05,24032.8,363297728,33650.36
04-MAY-2026,24063.55,24290.2,24004.75,24119.3,419069793,35790.21
30-APR-2026,23996.95,24087.45,23796.85,23997.55,505520648,44420.83
29-APR-2026,24096.9,24334.7,24059.95,24177.65,531122966,38035.47
28-APR-2026,24049.9,24181.8,23957.05,23995.7,554134344,43390.29
27-APR-2026,23945.45,24130.7,23936.2,24092.7,430297937,36685.28
24-APR-2026,24100.55,24206,23813.65,23897.95,438433486,36898.39
23-APR-2026,24202.35,24310.2,24134.8,24173.05,467549860,39616.97
22-APR-2026,24470.85,24515.95,24352.9,24378.1,440524292,38980.03
21-APR-2026,24374.55,24601.7,24354.9,24576.6,425826834,37315.7
20-APR-2026,24391.5,24480.65,24241.25,24364.85,415942883,35042.31
17-APR-2026,24165.9,24371.9,24096.05,24353.55,498625189,35373.29
16-APR-2026,24385.2,24400.95,24102.8,24196.75,508017772,44634.35
